time,message,logger,level
2015-01-13 18:35:30.0621,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0621,Reading system date.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0621,Creating playlist out of XML entries.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0621,Final playlist: System.Collections.Generic.List`1[System.String],SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0621,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0621,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Reading system date.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Creating playlist out of XML entries.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Final playlist: System.Collections.Generic.List`1[System.String],SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0781,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,Reading system date.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,Creating playlist out of XML entries.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,Final playlist: System.Collections.Generic.List`1[System.String],SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:35:30.0931,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:36:13.5916,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.8649,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9029,Error running the homing process. System will now exit! DO NOT ATTEMPT TO RUN ANY MOTION UNTIL HOMING IS DONE SUCCESSFULLY.,SlidingScreensVideoPlayer.Program,Fatal
2015-01-13 18:44:44.9029,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9029,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9109,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9109,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9109,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:46:21.1204,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:46:21.1644,Error running the homing process. System will now exit! DO NOT ATTEMPT TO RUN ANY MOTION UNTIL HOMING IS DONE SUCCESSFULLY.,SlidingScreensVideoPlayer.Program,Fatal
2015-01-13 18:46:21.1644,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:46:21.1644,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:46:21.1644,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:46:21.1644,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:46:21.1644,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.6850,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.7310,Error running the homing process. System will now exit! DO NOT ATTEMPT TO RUN ANY MOTION UNTIL HOMING IS DONE SUCCESSFULLY.,SlidingScreensVideoPlayer.Program,Fatal
2015-01-13 18:48:17.7310,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.7310,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.7310,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.7310,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.7310,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6052,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
