time,message,logger,level
2015-01-13 18:35:30.0931,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:36:13.5916,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:36:14.5487,Initializing ns2:frame/ns2:loops handle,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.8448,Initializing Main(),SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.8649,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.8649,Calling the homing EXE,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Error running the homing process. System will now exit! DO NOT ATTEMPT TO RUN ANY MOTION UNTIL HOMING IS DONE SUCCESSFULLY.,SlidingScreensVideoPlayer.Program,Fatal
2015-01-13 18:44:44.9029,Initializing List<string> playlist.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Start of while loop iteration.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9029,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9029,Reading playlist.xml.bak,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Initializing XmlDocument,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Initializing XmlReaderSettings,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Initializing XmlNamespaceManager,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Initializing XmlParserContext,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9029,Initializing XmlReader,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9109,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9109,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:44:44.9109,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9109,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:44:44.9109,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
